loss,acc,recall,precision,auc,true_positives,true_negatives,false_negatives,false_positives,val_loss,val_acc,val_recall,val_precision,val_auc,val_true_positives,val_true_negatives,val_false_negatives,val_false_positives
0.27822163701057434,0.917512834072113,0.9088894724845886,0.929267942905426,0.9869937300682068,79576.0,344155.0,7977.0,6057.0,0.7116218209266663,0.8276460766792297,0.827600359916687,0.8279786109924316,0.9220048189163208,18117.0,83800.0,3774.0,3764.0
0.12985530495643616,0.9637933373451233,0.9614176750183105,0.9661960601806641,0.9957787394523621,84175.0,347267.0,3378.0,2945.0,0.669409990310669,0.8510347008705139,0.8362340927124023,0.8636535406112671,0.9435154795646667,18306.0,84674.0,3585.0,2890.0
0.09751825034618378,0.9728963971138,0.9715943336486816,0.9743319749832153,0.9972711205482483,85066.0,347971.0,2487.0,2241.0,0.17819346487522125,0.9508473873138428,0.9463249444961548,0.9556673169136047,0.9942758679389954,20716.0,86603.0,1175.0,961.0
0.07995087653398514,0.9772595167160034,0.9761515855789185,0.9782297611236572,0.9979645013809204,85465.0,348310.0,2088.0,1902.0,0.09194661676883698,0.9741902947425842,0.9734137058258057,0.9755975008010864,0.9975313544273376,21309.0,87031.0,582.0,533.0
0.07087569683790207,0.97907555103302,0.9780818223953247,0.9802089929580688,0.9983057379722595,85634.0,348483.0,1919.0,1729.0,0.08001283556222916,0.9776620268821716,0.9765657186508179,0.9786669015884399,0.9977431893348694,21378.0,87098.0,513.0,466.0
0.06218734383583069,0.9813598394393921,0.9805717468261719,0.9824119806289673,0.9985419511795044,85852.0,348675.0,1701.0,1537.0,0.0708426982164383,0.9804486036300659,0.9799004197120667,0.9812451601028442,0.9977206587791443,21451.0,87154.0,440.0,410.0
0.05590761452913284,0.9829931855201721,0.982239305973053,0.9837337136268616,0.9988318681716919,85998.0,348790.0,1555.0,1422.0,0.07244154065847397,0.9807683229446411,0.9803572297096252,0.9814332127571106,0.9976341128349304,21461.0,87158.0,430.0,406.0
0.052112072706222534,0.9843180775642395,0.9835870862007141,0.9848694801330566,0.9990140795707703,86116.0,348889.0,1437.0,1323.0,0.08044303953647614,0.9780275225639343,0.9773423075675964,0.978996992111206,0.9975142478942871,21395.0,87105.0,496.0,459.0
0.047001685947179794,0.9857343435287476,0.9849919676780701,0.9864453673362732,0.9991129636764526,86239.0,349027.0,1314.0,1185.0,0.06867221742868423,0.9822301268577576,0.9818646907806396,0.9829423427581787,0.9975865483283997,21494.0,87191.0,397.0,373.0
0.042006030678749084,0.9865909814834595,0.9861341118812561,0.9872617125511169,0.9992136359214783,86339.0,349098.0,1214.0,1114.0,0.06505477428436279,0.9828239679336548,0.9822301268577576,0.9833531379699707,0.9981042146682739,21502.0,87200.0,389.0,364.0
0.038815371692180634,0.9880072474479675,0.9875389933586121,0.9884534478187561,0.9992860555648804,86462.0,349202.0,1091.0,1010.0,0.07968306541442871,0.9770681858062744,0.9756977558135986,0.978244960308075,0.9976701140403748,21359.0,87089.0,532.0,475.0
0.03597630560398102,0.9884412884712219,0.9879387617111206,0.9890457987785339,0.9994535446166992,86497.0,349254.0,1056.0,958.0,0.06384950131177902,0.9836005568504333,0.9829610586166382,0.984174907207489,0.9979773163795471,21518.0,87218.0,373.0,346.0
0.033470332622528076,0.9888753294944763,0.9882928133010864,0.989332377910614,0.9995269775390625,86528.0,349279.0,1025.0,933.0,0.072792187333107,0.9810424447059631,0.9804942607879639,0.9813460111618042,0.9974839687347412,21464.0,87156.0,427.0,408.0
0.03181309625506401,0.9900974035263062,0.9896405339241028,0.9904664158821106,0.9994729161262512,86646.0,349378.0,907.0,834.0,0.06570844352245331,0.9828239679336548,0.9824585318565369,0.9836717844009399,0.9980661869049072,21507.0,87207.0,384.0,357.0
0.02882520481944084,0.9907484650611877,0.990382969379425,0.9912094473838806,0.9996058940887451,86711.0,349443.0,842.0,769.0,0.06998032331466675,0.9836462736129761,0.983372151851654,0.9840014576911926,0.9973700642585754,21527.0,87214.0,364.0,350.0
0.02796485461294651,0.9905771613121033,0.9901773929595947,0.9909470081329346,0.9996814131736755,86693.0,349420.0,860.0,792.0,0.07523265480995178,0.9822758436203003,0.982047438621521,0.9827207922935486,0.9969128370285034,21498.0,87186.0,393.0,378.0
0.02550581283867359,0.9909997582435608,0.9907141923904419,0.9913595914840698,0.9996481537818909,86740.0,349456.0,813.0,756.0,0.069931261241436,0.983691930770874,0.9831894636154175,0.9842685461044312,0.9973568916320801,21523.0,87220.0,368.0,344.0
0.02313707210123539,0.9919819831848145,0.9917764067649841,0.9922977685928345,0.9997716546058655,86833.0,349538.0,720.0,674.0,0.06770191341638565,0.9841487407684326,0.9839659929275513,0.984460711479187,0.997571587562561,21540.0,87224.0,351.0,340.0
0.022876540198922157,0.9920962452888489,0.9918792247772217,0.99236661195755,0.9997475147247314,86842.0,349544.0,711.0,668.0,0.09854228794574738,0.974236011505127,0.9736878275871277,0.9748902320861816,0.9963917136192322,21315.0,87015.0,576.0,549.0
0.022643089294433594,0.9922561049461365,0.9920276999473572,0.9926058650016785,0.9996739625930786,86855.0,349565.0,698.0,647.0,0.06945984065532684,0.9846055507659912,0.9845141768455505,0.9850091338157654,0.9973597526550293,21552.0,87236.0,339.0,328.0
0.019215252250432968,0.9932041168212891,0.9930328130722046,0.9935207366943359,0.999785304069519,86943.0,349645.0,610.0,567.0,0.07718788087368011,0.9831437468528748,0.9829153418540955,0.9832297563552856,0.9971156716346741,21517.0,87197.0,374.0,367.0
