loss,acc,recall_3,precision_3,auc_3,true_positives_3,true_negatives_3,false_negatives_3,false_positives_3,val_loss,val_acc,val_recall_3,val_precision_3,val_auc_3,val_true_positives_3,val_true_negatives_3,val_false_negatives_3,val_false_positives_3
0.7446765303611755,0.7822233438491821,0.6504745483398438,0.886024534702301,0.9352819919586182,56951.0,342886.0,30602.0,7326.0,0.448743999004364,0.827600359916687,0.8085971474647522,0.9367095232009888,0.9748566150665283,17701.0,86368.0,4190.0,1196.0
0.48885372281074524,0.8331867456436157,0.7878656387329102,0.9440779685974121,0.9712016582489014,68980.0,346126.0,18573.0,4086.0,0.38675814867019653,0.8345895409584045,0.8060846924781799,0.9574606418609619,0.9791801571846008,17646.0,86780.0,4245.0,784.0
0.42733070254325867,0.8572750091552734,0.7971514463424683,0.954904317855835,0.9769859910011292,69793.0,346916.0,17760.0,3296.0,0.36191436648368835,0.887213945388794,0.795304000377655,0.9707817435264587,0.9847061038017273,17410.0,87040.0,4481.0,524.0
0.39158904552459717,0.8791817426681519,0.8056491613388062,0.9554622173309326,0.9806150794029236,70537.0,346924.0,17016.0,3288.0,0.3309493958950043,0.8901374936103821,0.8078205585479736,0.9632332921028137,0.9856411218643188,17684.0,86889.0,4207.0,675.0
0.3655547499656677,0.8880335092544556,0.8183728456497192,0.9513888955116272,0.9827704429626465,71651.0,346551.0,15902.0,3661.0,0.3046579360961914,0.8928326964378357,0.826275646686554,0.9595246911048889,0.9867319464683533,18088.0,86801.0,3803.0,763.0
0.34556740522384644,0.8917455673217773,0.8349799513816833,0.9450829029083252,0.9841923117637634,73105.0,345964.0,14448.0,4248.0,0.29074472188949585,0.8997305035591125,0.8735553622245789,0.9571549892425537,0.9880579113960266,19123.0,86708.0,2768.0,856.0
0.32878729701042175,0.8963713645935059,0.8406793475151062,0.9445250034332275,0.9854403138160706,73604.0,345889.0,13949.0,4323.0,0.2818226218223572,0.9001415967941284,0.8849755525588989,0.9536303281784058,0.9885105490684509,19373.0,86622.0,2518.0,942.0
0.3114266097545624,0.9020707607269287,0.8482633233070374,0.9452462792396545,0.9867401719093323,74268.0,345910.0,13285.0,4302.0,0.26141202449798584,0.908729612827301,0.8843817114830017,0.9617964029312134,0.9899443984031677,19360.0,86795.0,2531.0,769.0
0.2978742718696594,0.9084668755531311,0.8589311838150024,0.9447131156921387,0.9878633618354797,75202.0,345811.0,12351.0,4401.0,0.24494297802448273,0.9248092770576477,0.8845187425613403,0.9640047550201416,0.9915745258331299,19363.0,86841.0,2528.0,723.0
0.2872432768344879,0.9148744344711304,0.8697246313095093,0.9456435441970825,0.988430917263031,76147.0,345835.0,11406.0,4377.0,0.22802209854125977,0.9424421191215515,0.9154447317123413,0.9646209478378296,0.992027223110199,20040.0,86829.0,1851.0,735.0
0.2750541567802429,0.9202539920806885,0.883944571018219,0.9464248418807983,0.9892351031303406,77392.0,345831.0,10161.0,4381.0,0.20976731181144714,0.9458224773406982,0.9365949630737305,0.9612733721733093,0.9923943281173706,20503.0,86738.0,1388.0,826.0
0.2633799612522125,0.9246513247489929,0.8963142037391663,0.9471708536148071,0.9900217652320862,78475.0,345835.0,9078.0,4377.0,0.19617296755313873,0.9480608701705933,0.9391987323760986,0.961871325969696,0.9930794835090637,20560.0,86749.0,1331.0,815.0
0.2493484914302826,0.9298710227012634,0.9076559543609619,0.9497789144515991,0.9908584952354431,79468.0,346010.0,8085.0,4202.0,0.19037383794784546,0.9465990662574768,0.9398382902145386,0.9587138891220093,0.993346631526947,20574.0,86678.0,1317.0,886.0
0.23676533997058868,0.9321781992912292,0.9144974946975708,0.9521697163581848,0.9914854764938354,80067.0,346190.0,7486.0,4022.0,0.17681926488876343,0.9493855834007263,0.9423050284385681,0.9668619632720947,0.9944326877593994,20628.0,86857.0,1263.0,707.0
0.23242805898189545,0.9341198801994324,0.918380856513977,0.9523961544036865,0.9915828704833984,80407.0,346193.0,7146.0,4019.0,0.17106381058692932,0.9512128233909607,0.9413914680480957,0.9707475900650024,0.9948321580886841,20608.0,86943.0,1283.0,621.0
0.22109875082969666,0.9375806450843811,0.9243772625923157,0.9554346203804016,0.9921903014183044,80932.0,346437.0,6621.0,3775.0,0.1755945086479187,0.9493855834007263,0.9426248073577881,0.962363600730896,0.994231104850769,20635.0,86757.0,1256.0,807.0
0.21292254328727722,0.9396708011627197,0.9268442988395691,0.9579958915710449,0.9927486181259155,81148.0,346654.0,6405.0,3558.0,0.1722424328327179,0.9516239762306213,0.9463249444961548,0.963445246219635,0.9944387078285217,20716.0,86778.0,1175.0,786.0
0.20977215468883514,0.941532552242279,0.9292428493499756,0.9589919447898865,0.992855429649353,81358.0,346733.0,6195.0,3479.0,0.1670556664466858,0.95176100730896,0.9465990662574768,0.9637691378593445,0.9948148727416992,20722.0,86785.0,1169.0,779.0
0.207224503159523,0.9419323205947876,0.9300309419631958,0.9596356153488159,0.993023157119751,81427.0,346787.0,6126.0,3425.0,0.17434640228748322,0.95112144947052,0.9471015334129333,0.9621328115463257,0.9940232038497925,20733.0,86748.0,1158.0,816.0
0.19930784404277802,0.943280041217804,0.931652843952179,0.9614223837852478,0.9933737516403198,81569.0,346939.0,5984.0,3273.0,0.16437359154224396,0.9519436955451965,0.9473756551742554,0.964649498462677,0.9947690963745117,20739.0,86804.0,1152.0,760.0
